category,ethnicity_count,geographic_area,continent,by_ethnicity,by_dish,by_type,type_count,yelp_parent_category,top_level_category
Acai Bowls,,,,FALSE,TRUE,FALSE,,food,Food by Dish
Afghan,Afghan,South Asian,Asian,TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
African,African (General),African (General),African,TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
American,American,American,North American (United States & Canada),TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
Arabic,Arabic,Middle Eastern,Middle Eastern,TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
Argentine,Argentine,South American,Latin American,TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
Armenian,Armenian,Middle Eastern,Middle Eastern,TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
Asian Fusion,Asian Fusion,Asian Fusion,Asian,TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
Australian,Australian,Australian,Australian & Pacific Islander,TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
Austrian,Austrian,Central European,European,TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
Bagels,,,,FALSE,TRUE,FALSE,,food,Food by Dish
Bakeries,,,,FALSE,TRUE,TRUE,Bakeries,food,Food by Dish
Bangladeshi,Bangladeshi,South Asian,Asian,TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
Bar Crawl,,,,FALSE,FALSE,FALSE,,nightlife,Bars & Nightlife
Barbeque,,,,FALSE,TRUE,FALSE,,restaurants,Food by Dish
Bars,,,,FALSE,FALSE,TRUE,Bars,nightlife,Bars & Nightlife
Basque,Basque,Southern European (Mediterranean),European,TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
Beer Bar,,,,FALSE,FALSE,TRUE,Beer Bar,bars,Bars & Nightlife
Beer Gardens,,,,FALSE,FALSE,TRUE,Beer Gardens,nightlife,Bars & Nightlife
Belgian,Belgian,Western European,European,TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
Brasseries,,,,FALSE,FALSE,FALSE,,restaurants,By Establishment Type
Brazilian,Brazilian,South American,Latin American,TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
Breakfast & Brunch,,,,FALSE,TRUE,FALSE,,restaurants,Food by Dish
Breweries,,,,FALSE,FALSE,TRUE,Breweries,food,By Establishment Type
Brewpubs,,,,FALSE,FALSE,TRUE,Brewpubs,breweries,Bars & Nightlife
British,British,Western European,European,TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
Bubble Tea,,,,FALSE,TRUE,FALSE,,food,Food by Dish
Buffets,,,,FALSE,FALSE,FALSE,,restaurants,By Establishment Type
Burgers,,,,FALSE,TRUE,FALSE,,restaurants,Food by Dish
Burmese,Burmese,Southeast Asian,Asian,TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
Cafes,,,,FALSE,FALSE,TRUE,Cafes,restaurants,By Establishment Type
Cafeteria,,,,FALSE,FALSE,TRUE,Cafeteria,restaurants,By Establishment Type
Cajun/Creole,Cajun/Creole,American,North American (United States & Canada),TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
Cambodian,Cambodian,Southeast Asian,Asian,TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
Cantonese,Cantonese,Chinese,Asian,TRUE,FALSE,FALSE,,chinese,Food by Ethnicity
Caribbean,Caribbean (General),Caribbean,Latin American,TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
Catalan,Catalan,Southern European (Mediterranean),European,TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
Champagne Bars,,,,FALSE,FALSE,TRUE,Champagne Bars,bars,By Establishment Type
Cheesesteaks,,,,FALSE,TRUE,FALSE,,restaurants,Food by Dish
Chicken Shop,,,,FALSE,TRUE,TRUE,Chicken Shop,restaurants,Food by Dish
Chicken Wings,,,,FALSE,TRUE,FALSE,,restaurants,Food by Dish
Chinese,Chinese,Chinese,Asian,TRUE,FALSE,FALSE,,restaurants,Food by Ethnicity
Cideries,,,,FALSE,FALSE,TRUE,Cideries,food,By Establishment Type
Cigar Bars,,,,FALSE,FALSE,TRUE,Cigar Bars,bars,Bars & Nightlife
Club Crawl,,,,FALSE,FALSE,FALSE,,nightlife,Bars & Nightlife
Cocktail Bars,,,,FALSE,FALSE,TRUE,Cocktail Bars,bars,Bars & Nightlife
Coffee & Tea,,,,FALSE,TRUE,FALSE,,food,Food by Dish
Colombian,Colombian,South American,Latin American,TRUE,FALSE,FALSE,,latin,Food by Ethnicity
Comedy Clubs,,,,FALSE,FALSE,TRUE,Comedy Clubs,nightlife,Bars & Nightlife
Comfort Food,,,,FALSE,TRUE,FALSE,,restaurants,Food by Dish
Conveyor Belt Sushi,,,,FALSE,FALSE,FALSE,,japanese,By Establishment Type
