ntaname,Acai Bowls,Bagels,Bakeries,Barbeque,Breakfast & Brunch,Bubble Tea,Burgers,Cheesesteaks,Chicken Shop,Chicken Wings,Coffee & Tea,Comfort Food,Creperies,Cupcakes,Desserts,Dim Sum,Donuts,Empanadas,Falafel,Fish & Chips,Fondue,Gelato,Honey,Hot Dogs,Hot Pot,Ice Cream & Frozen Yogurt,Japanese Curry,Juice Bars & Smoothies,Kebab,Kombucha,Noodles,Pancakes,Piadina,Pizza,Poke,Poutineries,Pretzels,Ramen,Salad,Sandwiches,Seafood,Shaved Ice,Soup,Tacos,Tapas/Small Plates,Teppanyaki,Waffles,Wraps,highest_category
Airport,0,1,0,2,3,0,8,0,0,0,8,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,3,16,3,0,0,0,0,0,0,1,Sandwiches
Allerton-Pelham Gardens,0,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,5,0,1,0,0,0,0,0,Pizza
Annadale-Huguenot-Prince's Bay-Eltingville,1,2,0,0,3,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,1,5,0,0,1,0,0,0,0,1,Pizza
Arden Heights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Pizza
Astoria,2,7,7,4,36,3,35,0,4,17,25,7,3,0,9,2,1,0,2,3,0,0,0,2,1,1,0,10,4,0,6,0,0,40,3,0,0,7,13,46,26,0,5,13,4,0,1,3,Sandwiches
Auburndale,0,0,1,1,1,0,1,0,1,5,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,1,0,0,0,0,0,0,0,Chicken Wings
Baisley Park,0,0,0,1,3,0,3,0,1,9,4,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,3,9,0,0,0,0,0,0,0,Chicken Wings
Bath Beach,0,1,1,1,5,0,4,0,0,1,1,0,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,9,0,0,0,1,2,2,3,0,0,1,0,0,0,2,Pizza
Battery Park City-Lower Manhattan,3,8,6,7,55,2,31,2,7,5,37,3,2,0,5,4,0,1,3,1,0,0,0,11,1,2,3,11,0,0,4,0,0,42,7,0,0,4,41,65,20,0,8,6,3,0,1,5,Sandwiches
Bay Ridge,0,7,6,0,29,1,16,1,3,8,11,3,2,0,7,0,0,0,4,2,0,0,0,3,0,0,0,10,4,0,1,0,0,31,2,0,0,3,9,29,11,0,0,4,0,0,0,3,Pizza
