ntaname,Afghan,African (General),American,Arabic,Argentine,Armenian,Asian Fusion,Australian,Austrian,Bangladeshi,Basque,Belgian,Brazilian,British,Burmese,Cajun/Creole,Cambodian,Cantonese,Caribbean (General),Catalan,Chinese,Colombian,Cuban,Czech,Dominican,Egyptian,Eritrean,Ethiopian,Filipino,French,Georgian,German,Greek,Hainan,Haitian,Hawaiian,Himalayan/Nepalese,Honduran,Hungarian,Iberian,Indian,Indonesian,Irish,Italian,Japanese,Korean,Laotian,Latin American (General),Lebanese,Malaysian,Mediterranean,Mexican,Middle Eastern (General),Modern European,Mongolian,Moroccan,New American,New Mexican Cuisine,Pakistani,Pan Asian,Persian/Iranian,Peruvian,Polish,Portuguese,Puerto Rican,Russian,Salvadoran,Sardinian,Scandinavian,Scottish,Senegalese,Shanghainese,Sicilian,Singaporean,Slovakian,Soul Food,South African,Southern,Spanish,Sri Lankan,Syrian,Szechuan,Taiwanese,Tex-Mex,Thai,Trinidadian,Turkish,Tuscan,Ukrainian,Uzbek,Venezuelan,Vietnamese,highest_category
Airport,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,American
Allerton-Pelham Gardens,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese
Annadale-Huguenot-Prince's Bay-Eltingville,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Italian
Arden Heights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese
Astoria,2,2,24,0,0,0,4,0,0,1,0,0,6,0,0,2,0,0,1,0,22,9,2,0,1,4,0,0,0,0,0,1,11,1,0,3,1,0,0,0,9,0,2,21,12,8,0,13,2,0,19,43,18,5,0,3,17,2,2,1,0,7,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,1,5,0,0,1,0,0,15,0,4,0,0,0,2,3,Mexican
Auburndale,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,13,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Korean
Baisley Park,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Caribbean (General)
Bath Beach,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,2,0,1,0,2,2,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,Chinese
Battery Park City-Lower Manhattan,1,1,27,0,0,0,11,1,1,1,0,1,1,1,0,2,0,1,0,0,17,0,2,0,0,0,0,0,0,10,0,0,7,0,0,5,0,0,0,0,13,0,5,35,16,8,0,0,2,1,17,27,4,0,0,0,29,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,3,7,0,0,1,1,1,1,5,Italian
Bay Ridge,0,0,14,2,0,0,6,0,0,0,0,0,1,0,0,0,0,2,0,0,26,1,0,0,0,0,0,0,0,0,2,1,6,0,0,1,0,0,0,0,5,0,2,23,15,1,0,4,1,0,9,14,21,1,0,0,13,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,8,0,6,0,0,1,0,3,Chinese
