ntaname,Bakeries,Bars,Beer Bar,Beer Gardens,Breweries,Brewpubs,Cafes,Cafeteria,Champagne Bars,Chicken Shop,Cideries,Cigar Bars,Cocktail Bars,Comedy Clubs,Country Dance Halls,Creperies,Dance Clubs,Diners,Dinner Theater,Distilleries,Dive Bars,Fast Food,Food Court,Food Stands,Food Trucks,Gastropubs,Gay Bars,Hong Kong Style Cafe,Hookah Bars,Internet Cafes,Irish Pub,Izakaya,Juice Bars & Smoothies,Karaoke,Lounges,Nightlife,Piano Bars,Pool Halls,Pubs,Smokehouse,Speakeasies,Sports Bars,Street Vendors,Tapas Bars,Tea Rooms,Themed Cafes,Tiki Bars,Vermouth Bars,Whiskey Bars,Wine Bars,highest_category
Airport,0,4,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,5,4,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Fast Food
Allerton-Pelham Gardens,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Fast Food
Annadale-Huguenot-Prince's Bay-Eltingville,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Bars
Arden Heights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fast Food
Astoria,7,28,5,1,0,0,28,0,0,4,0,0,36,0,0,3,4,5,0,0,4,20,0,6,15,2,2,0,22,1,5,2,10,1,17,1,0,2,9,0,1,14,1,1,0,0,1,0,1,7,Cocktail Bars
Auburndale,1,1,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,3,0,0,1,5,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,Fast Food
Baisley Park,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fast Food
Bath Beach,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Food Trucks
Battery Park City-Lower Manhattan,6,26,8,2,0,0,24,1,0,7,0,1,33,1,0,2,0,4,1,0,3,32,6,21,19,5,0,0,0,0,5,0,11,0,11,0,0,0,13,2,1,9,5,1,0,0,0,0,0,13,Cocktail Bars
Bay Ridge,6,4,2,0,0,0,10,0,0,3,0,0,8,0,0,2,0,8,0,0,2,14,0,0,4,0,0,1,9,0,1,0,10,0,6,0,0,1,5,0,0,6,0,0,0,0,0,0,0,4,Fast Food
Bayside-Bayside Hills,0,4,2,1,0,0,6,0,0,3,0,0,7,0,0,2,0,2,0,0,1,6,0,0,3,2,0,3,2,0,1,0,4,1,1,0,0,1,0,0,1,3,0,2,0,0,0,0,0,2,Cocktail Bars
Bedford,14,11,1,0,0,0,16,0,0,4,0,0,5,1,0,2,0,0,0,0,0,12,0,2,1,0,1,0,0,1,0,1,7,1,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,1,Cafes
Bedford Park-Fordham North,1,1,1,0,0,0,2,1,0,2,0,1,0,0,0,0,0,3,0,0,0,10,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Fast Food
Bellerose,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,6,0,1,1,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Fast Food
Belmont,1,4,1,1,0,0,5,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,Fast Food
Bensonhurst East,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,0,0,3,0,0,1,3,0,0,0,1,0,7,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,Lounges
Bensonhurst West,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4,0,0,0,16,0,1,4,0,0,4,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Fast Food
Borough Park,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cafes
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1,8,2,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,1,2,0,3,3,0,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,Bars
Briarwood-Jamaica Hills,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,1,6,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fast Food
Brighton Beach,6,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cafes
Bronxdale,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Fast Food
Brooklyn Heights-Cobble Hill,6,3,1,0,0,0,4,0,0,1,0,0,13,1,0,0,0,3,0,0,1,4,0,5,1,1,0,0,1,0,0,0,4,1,2,0,0,0,1,0,0,2,2,0,0,1,0,0,0,6,Cocktail Bars
Brownsville,2,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Fast Food
Bushwick North,5,30,6,1,2,0,15,0,0,3,0,0,32,0,0,3,1,3,0,0,6,15,0,0,6,2,0,0,1,0,0,0,6,1,5,0,0,0,1,0,0,2,0,0,1,1,2,0,0,6,Cocktail Bars
