OID_,Longitude,Latitude
75,-73.945857959999998,40.547078780000000
76,-73.937007820000005,40.543174870000001
77,-73.928150329999994,40.547069069999999
94,-73.937000470000001,40.550973659999997
95,-73.928141940000003,40.554867850000001
96,-73.919291810000004,40.550962579999997
97,-73.910432249999999,40.554855410000002
98,-73.892722570000004,40.554840230000003
115,-73.936993110000003,40.558772439999998
116,-73.928133560000006,40.562666630000002
117,-73.919282390000006,40.558761359999998
118,-73.910421799999995,40.562654180000003
119,-73.901571669999996,40.558747550000000
120,-73.892710050000005,40.562638999999997
121,-73.883860960000007,40.558731000000002
122,-73.874998309999995,40.562621090000000
143,-73.919272960000001,40.566560140000000
144,-73.901560180000004,40.566546320000000
145,-73.892697519999999,40.570437769999998
146,-73.883847399999993,40.566529780000003
147,-73.874983709999995,40.570419860000001
148,-73.866134630000005,40.566510500000000
149,-73.857269909999999,40.570399219999999
181,-73.883833830000000,40.574328540000003
182,-73.866118999999998,40.574309260000000
183,-73.857253249999999,40.578197979999999
184,-73.848404169999995,40.574287249999998
185,-73.839537390000004,40.578174599999997
186,-73.830689350000000,40.574262509999997
187,-73.821821549999996,40.578148489999997
220,-73.866103359999997,40.582108020000000
222,-73.848386469999994,40.582086009999998
223,-73.839518650000002,40.585973350000003
224,-73.830669580000006,40.582061260000003
225,-73.821800740000000,40.585947240000003
226,-73.812952710000005,40.582033780000003
227,-73.804082850000000,40.585918390000003
228,-73.786364960000000,40.585886819999999
264,-73.830649809999997,40.589860010000002
265,-73.821779930000005,40.593745980000001
266,-73.812930870000002,40.589832530000002
267,-73.804059960000004,40.593717130000002
268,-73.795211949999995,40.589802319999997
269,-73.786340010000004,40.593685549999996
270,-73.777493039999996,40.589769369999999
271,-73.768620080000005,40.593651240000000
272,-73.759774149999998,40.589733690000003
273,-73.750900169999994,40.593614189999997
274,-73.733180270000005,40.593574410000002
316,-73.821759110000002,40.601544720000000
317,-73.812909020000006,40.597631270000001
318,-73.804037080000001,40.601515870000000
319,-73.795188030000006,40.597601050000002
320,-73.786315060000007,40.601484280000001
321,-73.777467049999998,40.597568099999997
322,-73.768593060000001,40.601449969999997
323,-73.759746089999993,40.597532420000000
324,-73.750871070000002,40.601412920000001
325,-73.742025150000003,40.597494009999998
326,-73.733149109999999,40.601373129999999
368,-73.830610239999999,40.605457489999999
369,-73.821738289999999,40.609343449999997
370,-73.812887169999996,40.605429999999998
372,-73.795164099999994,40.605399779999999
373,-73.786290089999994,40.609283009999999
374,-73.777441060000001,40.605366830000001
375,-73.768566019999994,40.609248690000001
376,-73.759718030000002,40.605331139999997
377,-73.750841969999996,40.609211629999997
378,-73.741995020000005,40.605292720000001
417,-73.839443660000001,40.617168300000003
418,-73.830590450000003,40.613256219999997
419,-73.821717460000002,40.617142180000002
420,-73.812865310000007,40.613228730000003
424,-73.777415059999996,40.613165549999998
425,-73.768538980000002,40.617047399999997
426,-73.759689960000003,40.613129860000001
427,-73.741964879999998,40.613091429999997
468,-73.839424899999997,40.624967020000000
469,-73.830570660000006,40.621054940000000
470,-73.821696630000005,40.624940889999998
516,-73.839406130000000,40.632765740000004
517,-73.830550860000002,40.628853659999997
518,-73.821675799999994,40.632739610000002
564,-73.830531059999998,40.636652370000000
565,-73.821654949999996,40.640538309999997
607,-73.830511250000001,40.644451070000002
