Join_Count,TARGET_FID,category,yelp_id,name,is_closed,latitude,longitude,borocode,boroname,countyfips,ntacode,ntaname,geometry,ethnicity_count,geographic_area,continent,by_ethnicity,by_dish,by_type,type_count,yelp_parent_category,top_level_category
1,16,Bakeries,lLNZBzln5Nk4l47nfyAT3w,Pasticceria Rocco,False,40.616706,-74.031164,3.0,Brooklyn,047,BK31,Bay Ridge,POINT (-74.03116399999993 40.61670600000008),,,,False,True,True,Bakeries,food,Food by Dish
1,20,Juice Bars & Smoothies,eIh7_-UaTRbS069JX6NaoQ,Energy Fuel,False,40.6156029697,-74.0315688,3.0,Brooklyn,047,BK31,Bay Ridge,POINT (-74.03156879999995 40.615602970000054),,,,False,True,True,Juice Bars & Smoothies,food,Food by Dish
1,28,Lounges,F-0d3wQ7jR476HnUVi3lqQ,Kitty Kiernans,False,40.6153194991,-74.0342383877,3.0,Brooklyn,047,BK31,Bay Ridge,POINT (-74.03423838799995 40.615319499000066),,,,False,False,True,Lounges,bars,Bars & Nightlife
1,30,Irish Pub,F-0d3wQ7jR476HnUVi3lqQ,Kitty Kiernans,False,40.6153194991,-74.0342383877,3.0,Brooklyn,047,BK31,Bay Ridge,POINT (-74.03423838799995 40.615319499000066),,,,False,False,True,Irish Pub,bars,Bars & Nightlife
1,33,Diners,O3VeEQUt3olU13HG2YqaTQ,The Coffee Club,False,40.6155,-74.03161,3.0,Brooklyn,047,BK31,Bay Ridge,POINT (-74.03160999999994 40.615500000000054),,,,False,False,True,Diners,restaurants,By Establishment Type
1,39,Fast Food,2GtEQU7aBPXM8wKDON1c-w,Burger King,False,40.60994,-74.02771,3.0,Brooklyn,047,BK31,Bay Ridge,POINT (-74.02770999999996 40.60994000000005),,,,False,False,True,Fast Food,restaurants,By Establishment Type
1,47,Cafeteria,Gtvhoed7ZxXSDQ2y4UywFg,Veterans Administration Hospital Cafeteria,False,40.6076775,-74.0215607,3.0,Brooklyn,047,BK99,park-cemetery-etc-Brooklyn,POINT (-74.02156069999995 40.60767750000008),,,,False,False,True,Cafeteria,restaurants,By Establishment Type
1,55,Beer Bar,VP_HZr_j0dXKd80lUBfsyg,The Wicked Monk,False,40.616988,-74.034023,3.0,Brooklyn,047,BK31,Bay Ridge,POINT (-74.03402299999993 40.61698800000005),,,,False,False,True,Beer Bar,bars,Bars & Nightlife
1,57,Bakeries,esHGoW3wduCUkfNCmplG0A,Paneantico Bakery,False,40.619499,-74.033012,3.0,Brooklyn,047,BK31,Bay Ridge,POINT (-74.03301199999999 40.619499000000076),,,,False,True,True,Bakeries,food,Food by Dish
1,60,Lounges,Xiqf_VUWZeoAo7c2kfEiXw,Delia's Lounge & Restaurant,False,40.618809,-74.033272,3.0,Brooklyn,047,BK31,Bay Ridge,POINT (-74.03327199999995 40.618809000000056),,,,False,False,True,Lounges,bars,Bars & Nightlife
1,61,Wine Bars,Xiqf_VUWZeoAo7c2kfEiXw,Delia's Lounge & Restaurant,False,40.618809,-74.033272,3.0,Brooklyn,047,BK31,Bay Ridge,POINT (-74.03327199999995 40.618809000000056),,,,False,False,True,Wine Bars,bars,Bars & Nightlife
1,64,Cocktail Bars,Drb6I9masZDvxQUVcqE2ww,Ho' Brah a Taco Joint,False,40.623006,-74.031509,3.0,Brooklyn,047,BK31,Bay Ridge,POINT (-74.03150899999997 40.62300600000003),,,,False,False,True,Cocktail Bars,bars,Bars & Nightlife
